 # time [a.u.]         RMT-1           RMT-3           RMT-6          SAE
 1.73000000E+01 -5.05836233E-04 -4.83834355E-04 -4.83095375E-04 -5.25047652E-04
 1.74000000E+01 -5.12023974E-04 -4.89754647E-04 -4.89009901E-04 -5.31492337E-04
 1.75000000E+01 -5.18070742E-04 -4.95540370E-04 -4.94790246E-04 -5.37790622E-04
 1.76000000E+01 -5.23969532E-04 -5.01184821E-04 -5.00429704E-04 -5.43935105E-04
 1.77000000E+01 -5.29713326E-04 -5.06681279E-04 -5.05921552E-04 -5.49918376E-04
 1.78000000E+01 -5.35295092E-04 -5.12023009E-04 -5.11259054E-04 -5.55733028E-04
 1.79000000E+01 -5.40707791E-04 -5.17203268E-04 -5.16435464E-04 -5.61371666E-04
 1.80000000E+01 -5.45944383E-04 -5.22215314E-04 -5.21444035E-04 -5.66826917E-04
 1.81000000E+01 -5.50997853E-04 -5.27052424E-04 -5.26278043E-04 -5.72091441E-04
 1.82000000E+01 -5.55861230E-04 -5.31707916E-04 -5.30930798E-04 -5.77157940E-04
 1.83000000E+01 -5.60527604E-04 -5.36175163E-04 -5.35395670E-04 -5.82019164E-04
 1.84000000E+01 -5.64990140E-04 -5.40447607E-04 -5.39666093E-04 -5.86667926E-04
 1.85000000E+01 -5.69242079E-04 -5.44518761E-04 -5.43735571E-04 -5.91097108E-04
 1.86000000E+01 -5.73276738E-04 -5.48382211E-04 -5.47597682E-04 -5.95299668E-04
 1.87000000E+01 -5.77087505E-04 -5.52031612E-04 -5.51246072E-04 -5.99268651E-04
 1.88000000E+01 -5.80667849E-04 -5.55460696E-04 -5.54674464E-04 -6.02997199E-04
 1.89000000E+01 -5.84011326E-04 -5.58663283E-04 -5.57876666E-04 -6.06478554E-04
 1.90000000E+01 -5.87111588E-04 -5.61633282E-04 -5.60846580E-04 -6.09706071E-04
 1.91000000E+01 -5.89962397E-04 -5.64364710E-04 -5.63578210E-04 -6.12673219E-04
 1.92000000E+01 -5.92557632E-04 -5.66851695E-04 -5.66065675E-04 -6.15373595E-04
 1.93000000E+01 -5.94891292E-04 -5.69088482E-04 -5.68303211E-04 -6.17800924E-04
 1.94000000E+01 -5.96957499E-04 -5.71069432E-04 -5.70285168E-04 -6.19949071E-04
 1.95000000E+01 -5.98750492E-04 -5.72789023E-04 -5.72006016E-04 -6.21812040E-04
 1.96000000E+01 -6.00264640E-04 -5.74241855E-04 -5.73460349E-04 -6.23383985E-04
 1.97000000E+01 -6.01494445E-04 -5.75422656E-04 -5.74642885E-04 -6.24659213E-04
 1.98000000E+01 -6.02434544E-04 -5.76326285E-04 -5.75548478E-04 -6.25632187E-04
 1.99000000E+01 -6.03079725E-04 -5.76947743E-04 -5.76172125E-04 -6.26297529E-04
 2.00000000E+01 -6.03424935E-04 -5.77282179E-04 -5.76508970E-04 -6.26650028E-04
 2.01000000E+01 -6.03465285E-04 -5.77324903E-04 -5.76554320E-04 -6.26684638E-04
 2.02000000E+01 -6.03196052E-04 -5.77071377E-04 -5.76303637E-04 -6.26396484E-04
 2.03000000E+01 -6.02612672E-04 -5.76517219E-04 -5.75752537E-04 -6.25780861E-04
 2.04000000E+01 -6.01710745E-04 -5.75658200E-04 -5.74896793E-04 -6.24833239E-04
 2.05000000E+01 -6.00486032E-04 -5.74490244E-04 -5.73732330E-04 -6.23549261E-04
 2.06000000E+01 -5.98934460E-04 -5.73009434E-04 -5.72255235E-04 -6.21924747E-04
 2.07000000E+01 -5.97052123E-04 -5.71212013E-04 -5.70461758E-04 -6.19955689E-04
 2.08000000E+01 -5.94835279E-04 -5.69094382E-04 -5.68348304E-04 -6.17638260E-04
 2.09000000E+01 -5.92280342E-04 -5.66653091E-04 -5.65911431E-04 -6.14968805E-04
 2.10000000E+01 -5.89383873E-04 -5.63884834E-04 -5.63147843E-04 -6.11943844E-04
 2.11000000E+01 -5.86142586E-04 -5.60786455E-04 -5.60054394E-04 -6.08560072E-04
 2.12000000E+01 -5.82553353E-04 -5.57354949E-04 -5.56628089E-04 -6.04814356E-04
 2.13000000E+01 -5.78613200E-04 -5.53587461E-04 -5.52866086E-04 -6.00703734E-04
 2.14000000E+01 -5.74319315E-04 -5.49481293E-04 -5.48765699E-04 -5.96225413E-04
 2.15000000E+01 -5.69669049E-04 -5.45033907E-04 -5.44324404E-04 -5.91376769E-04
 2.16000000E+01 -5.64659921E-04 -5.40242925E-04 -5.39539836E-04 -5.86155341E-04
 2.17000000E+01 -5.59289617E-04 -5.35106133E-04 -5.34409794E-04 -5.80558833E-04
 2.18000000E+01 -5.53555992E-04 -5.29621480E-04 -5.28932242E-04 -5.74585109E-04
 2.19000000E+01 -5.47457068E-04 -5.23787075E-04 -5.23105301E-04 -5.68232190E-04
 2.20000000E+01 -5.40991027E-04 -5.17601186E-04 -5.16927253E-04 -5.61498255E-04
 2.21000000E+01 -5.34156200E-04 -5.11062221E-04 -5.10396522E-04 -5.54381633E-04
 2.22000000E+01 -5.26951054E-04 -5.04168726E-04 -5.03511669E-04 -5.46880807E-04
 2.23000000E+01 -5.19374185E-04 -4.96919375E-04 -4.96271383E-04 -5.38994406E-04
 2.24000000E+01 -5.11424314E-04 -4.89312963E-04 -4.88674478E-04 -5.30721204E-04
 2.25000000E+01 -5.03100292E-04 -4.81348414E-04 -4.80719895E-04 -5.22060119E-04
 2.26000000E+01 -4.94401108E-04 -4.73024785E-04 -4.72406709E-04 -5.13010211E-04
 2.27000000E+01 -4.85325888E-04 -4.64341264E-04 -4.63734127E-04 -5.03570677E-04
 2.28000000E+01 -4.75873900E-04 -4.55297174E-04 -4.54701488E-04 -4.93740853E-04
 2.29000000E+01 -4.66044556E-04 -4.45891973E-04 -4.45308268E-04 -4.83520207E-04
